semana,data
1,01/01/2012
2,08/01/2012
3,15/01/2012
4,22/01/2012
5,29/01/2012
6,05/02/2012
7,12/02/2012
8,19/02/2012
9,26/02/2012
10,04/03/2012
11,11/03/2012
12,18/03/2012
13,25/03/2012
14,01/04/2012
15,08/04/2012
16,15/04/2012
17,22/04/2012
18,29/04/2012
19,06/05/2012
20,13/05/2012
21,20/05/2012
22,27/05/2012
23,03/06/2012
24,10/06/2012
25,17/06/2012
26,24/06/2012
27,01/07/2012
28,08/07/2012
29,15/07/2012
30,22/07/2012
31,29/07/2012
32,05/08/2012
33,12/08/2012
34,19/08/2012
35,26/08/2012
36,02/09/2012
37,09/09/2012
38,16/09/2012
39,23/09/2012
40,30/09/2012
41,07/10/2012
42,14/10/2012
43,21/10/2012
44,28/10/2012
45,04/11/2012
46,11/11/2012
47,18/11/2012
48,25/11/2012
49,02/12/2012
50,09/12/2012
51,16/12/2012
52,23/12/2012
1,30/12/2012
2,06/01/2013
3,13/01/2013
4,20/01/2013
5,27/01/2013
6,03/02/2013
7,10/02/2013
8,17/02/2013
9,24/02/2013
10,03/03/2013
11,10/03/2013
12,17/03/2013
13,24/03/2013
14,31/03/2013
15,07/04/2013
16,14/04/2013
17,21/04/2013
18,28/04/2013
19,05/05/2013
20,12/05/2013
21,19/05/2013
22,26/05/2013
23,02/06/2013
24,09/06/2013
25,16/06/2013
26,23/06/2013
27,30/06/2013
28,07/07/2013
29,14/07/2013
30,21/07/2013
31,28/07/2013
32,04/08/2013
33,11/08/2013
34,18/08/2013
35,25/08/2013
36,01/09/2013
37,08/09/2013
38,15/09/2013
39,22/09/2013
40,29/09/2013
41,06/10/2013
42,13/10/2013
43,20/10/2013
44,27/10/2013
45,03/11/2013
46,10/11/2013
47,17/11/2013
48,24/11/2013
49,01/12/2013
50,08/12/2013
51,15/12/2013
52,22/12/2013
1,29/12/2013
2,05/01/2014
3,12/01/2014
4,19/01/2014
5,26/01/2014
6,02/02/2014
7,09/02/2014
8,16/02/2014
9,23/02/2014
10,02/03/2014
11,09/03/2014
12,16/03/2014
13,23/03/2014
14,30/03/2014
15,06/04/2014
16,13/04/2014
17,20/04/2014
18,27/04/2014
19,04/05/2014
20,11/05/2014
21,18/05/2014
22,25/05/2014
23,01/06/2014
24,08/06/2014
25,15/06/2014
26,22/06/2014
27,29/06/2014
28,06/07/2014
29,13/07/2014
30,20/07/2014
31,27/07/2014
32,03/08/2014
33,10/08/2014
34,17/08/2014
35,24/08/2014
36,31/08/2014
37,07/09/2014
38,14/09/2014
39,21/09/2014
40,28/09/2014
41,05/10/2014
42,12/10/2014
43,19/10/2014
44,26/10/2014
45,02/11/2014
46,09/11/2014
47,16/11/2014
48,23/11/2014
49,30/11/2014
50,07/12/2014
51,14/12/2014
52,21/12/2014
53,28/12/2014
1,04/01/2015
2,11/01/2015
3,18/01/2015
4,25/01/2015
5,01/02/2015
6,08/02/2015
7,15/02/2015
8,22/02/2015
9,01/03/2015
10,08/03/2015
11,15/03/2015
12,22/03/2015
13,29/03/2015
14,05/04/2015
15,12/04/2015
16,19/04/2015
17,26/04/2015
18,03/05/2015
19,10/05/2015
20,17/05/2015
21,24/05/2015
22,31/05/2015
23,07/06/2015
24,14/06/2015
25,21/06/2015
26,28/06/2015
27,05/07/2015
28,12/07/2015
29,19/07/2015
30,26/07/2015
31,02/08/2015
32,09/08/2015
33,16/08/2015
34,23/08/2015
35,30/08/2015
36,06/09/2015
37,13/09/2015
38,20/09/2015
39,27/09/2015
40,04/10/2015
41,11/10/2015
42,18/10/2015
43,25/10/2015
44,01/11/2015
45,08/11/2015
