mes_dia,media_notificacoes_dia,notificacoes_dia,regiao,r2,mae,mape,msd,mse,rmse,ano_inicio,ano_fim,ano,chave,limiar_pre_epidemico,intensidade_alta,intensidade_muito_alta
1-1,14,92,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-2,15,79,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-3,16,56,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-4,16,48,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-5,15,76,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-6,14,67,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-7,14,81,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-8,13,75,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-9,12,44,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-10,12,42,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-11,11,24,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-12,12,28,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-13,11,28,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-14,11,25,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-15,11,31,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-16,10,35,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-17,9,29,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-18,11,48,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-19,11,32,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-20,11,40,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-21,11,41,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-22,11,34,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-23,11,42,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-24,11,22,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-25,9,30,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-26,8,38,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-27,8,43,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-28,8,51,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-29,8,57,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-30,8,68,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
1-31,8,61,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-1,10,55,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
2-2,11,40,sudeste,0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,2020,sudeste2020,214,682,969
