"mes_dia","media_notificacoes_dia","data","real","predito","regiao","r2","mae","mape","msd","mse","rmse","ano_inicio","ano_fim","chave"
"1-1",14,"2020-01-05",13,92,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-2",15,"2020-01-06",15,79,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-3",16,"2020-01-07",15,56,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-4",16,"2020-01-08",16,48,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-5",15,"2020-01-09",16,76,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-6",14,"2020-01-10",17,67,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-7",14,"2020-01-11",17,81,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-8",13,"2020-01-12",17,75,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-9",12,"2020-01-13",16,44,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-10",12,"2020-01-14",17,42,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-11",11,"2020-01-15",16,24,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-12",12,"2020-01-16",16,28,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-13",11,"2020-01-17",16,28,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-14",11,"2020-01-18",16,25,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-15",11,"2020-01-19",16,31,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-16",10,"2020-01-20",15,35,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-17",9,"2020-01-21",14,29,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-18",11,"2020-01-22",14,48,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-19",11,"2020-01-23",14,32,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-20",11,"2020-01-24",15,40,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-21",11,"2020-01-25",16,41,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-22",11,"2020-01-26",16,34,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-23",11,"2020-01-27",17,42,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-24",11,"2020-01-28",18,22,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-25",9,"2020-01-29",17,30,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-26",8,"2020-01-30",18,38,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-27",8,"2020-01-31",17,43,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-28",8,"2020-02-01",17,51,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-29",8,"2020-02-02",17,57,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-30",8,"2020-02-03",17,68,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"1-31",8,"2020-02-04",17,61,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-1",10,"2020-02-05",18,55,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-2",11,"2020-02-06",17,40,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-3",12,"2020-02-07",17,34,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-4",13,"2020-02-08",17,41,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-5",13,"2020-02-09",17,30,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
"2-6",13,"2020-02-10",19,35,"sudeste",0.8470615758129517,143.23107569721108,3.374017677372182,143.23107569721108,27048.984063745018,164.46575346784212,2013,2019,"sudeste2020"
